StudentID,FirstName,LastName,Age,Gender,City,State,Email,PhoneNumber,Stage,ExamDateTime,Status
S202507916,Rohan,Das,23,Male,Thiruvananthapuram,Kerala,rohan.das.s202507916@example.in,9395759069,Descriptive Exam,2025-04-15 12:54:07,Fail
S202507917,Ritika,Jain,19,Female,Guwahati,Assam,ritika.jain.s202507917@example.in,8228613215,Technical Entrance Test,2025-01-18 16:01:41,Fail
S202507918,Siddharth,Iyer,25,Male,Kochi,Kerala,siddharth.iyer.s202507918@example.in,8313743686,Technical Entrance Test,2025-01-18 10:21:43,Fail
S202507919,Riya,Reddy,23,Female,Bengaluru,Karnataka,riya.reddy.s202507919@example.in,6139318980,Technical Entrance Test,2025-01-18 13:12:42,Fail
S202507920,Siddharth,Kaur,19,Male,Guwahati,Assam,siddharth.kaur.s202507920@example.in,7709595413,Technical Entrance Test,2025-01-18 11:19:09,Fail
S202507921,Isha,Chatterjee,18,Female,Mumbai,Maharashtra,isha.chatterjee.s202507921@example.in,6254815574,Technical Entrance Test,2025-01-18 15:53:28,Fail
S202507922,Abhishek,Das,19,Male,Pune,Maharashtra,abhishek.das.s202507922@example.in,8774009915,Technical Entrance Test,2025-01-18 16:17:07,Fail
S202507923,Kavya,Choudhary,20,Female,Guwahati,Assam,kavya.choudhary.s202507923@example.in,6893666035,Technical Entrance Test,2025-01-18 13:26:58,Fail
S202507924,Siddharth,Shetty,20,Male,Kolkata,West Bengal,siddharth.shetty.s202507924@example.in,6113176887,Technical Entrance Test,2025-01-18 14:48:08,Fail
S202507925,Rahul,Choudhary,24,Male,Chandigarh,Chandigarh,rahul.choudhary.s202507925@example.in,8418343574,Technical Entrance Test,2025-01-18 09:10:56,Fail
S202507926,Ritika,Iyer,25,Female,Bhubaneswar,Odisha,ritika.iyer.s202507926@example.in,6903756831,Technical Entrance Test,2025-01-18 13:09:56,Fail
S202507927,Trisha,Joshi,23,Female,Visakhapatnam,Andhra Pradesh,trisha.joshi.s202507927@example.in,9347212355,Technical Entrance Test,2025-01-18 10:42:57,Fail
S202507928,Vivek,Khan,18,Male,Thiruvananthapuram,Kerala,vivek.khan.s202507928@example.in,8233783711,Technical Entrance Test,2025-01-18 16:17:25,Fail
S202507929,Shivam,Mishra,20,Male,Ahmedabad,Gujarat,shivam.mishra.s202507929@example.in,6705310242,Technical Entrance Test,2025-01-18 10:39:47,Fail
S202507930,Nikhil,Iyer,20,Male,Noida,Uttar Pradesh,nikhil.iyer.s202507930@example.in,7511390999,Technical Entrance Test,2025-01-18 09:13:26,Pass
S202507930,Nikhil,Iyer,20,Male,Noida,Uttar Pradesh,nikhil.iyer.s202507930@example.in,7511390999,IQ Test,2025-03-01 16:16:24,Fail
S202507931,Simran,Pawar,20,Female,Hyderabad,Telangana,simran.pawar.s202507931@example.in,7079383667,Technical Entrance Test,2025-01-18 10:42:18,Fail
S202507932,Ishaan,Mehta,22,Male,Kochi,Kerala,ishaan.mehta.s202507932@example.in,6870008749,Technical Entrance Test,2025-01-18 17:36:38,Pass
S202507932,Ishaan,Mehta,22,Male,Kochi,Kerala,ishaan.mehta.s202507932@example.in,6870008749,IQ Test,2025-03-01 14:37:48,Fail
S202507933,Ishita,Pawar,20,Female,Visakhapatnam,Andhra Pradesh,ishita.pawar.s202507933@example.in,8662304419,Technical Entrance Test,2025-01-18 14:22:29,Fail
S202507934,Sakshi,Jain,25,Female,Visakhapatnam,Andhra Pradesh,sakshi.jain.s202507934@example.in,6522717697,Technical Entrance Test,2025-01-18 09:48:21,Fail
S202507935,Karthik,Mehta,25,Male,Bhopal,Madhya Pradesh,karthik.mehta.s202507935@example.in,6210784596,Technical Entrance Test,2025-01-18 11:55:44,Fail
S202507936,Tanvi,Mishra,25,Female,Chennai,Tamil Nadu,tanvi.mishra.s202507936@example.in,6755932278,Technical Entrance Test,2025-01-18 13:46:36,Fail
S202507937,Avni,Gupta,20,Female,Pune,Maharashtra,avni.gupta.s202507937@example.in,9975801977,Technical Entrance Test,2025-01-18 10:39:18,Pass
S202507937,Avni,Gupta,20,Female,Pune,Maharashtra,avni.gupta.s202507937@example.in,9975801977,IQ Test,2025-03-01 12:19:31,Fail
S202507938,Sneha,Gupta,25,Female,Bengaluru,Karnataka,sneha.gupta.s202507938@example.in,6986261838,Technical Entrance Test,2025-01-18 09:24:18,Fail
